STATE_ID,STATE,CITY,COUNTY_NAME,COUNTY_FIPS,2010_POP,PERCENT_UNDER_5,PERCENT_UNDER_18,PERCENT_OVER_65,PERCENT_BELOW_POVERTY_LINE,POP_DENSITY
AL,Alabama,BIRMINGHAM,Jefferson,1073,658466,6.9,23.5,13.6,16.2,592.5
AK,Alaska,ANCHORAGE,Anchorage,2020,291826,7.4,25.1,8.1,7.8,171.2
AR,Arkansas,LITTLE ROCK,Pulaski,5119,382748,6.9,23.8,12.6,16.7,503.8
AZ,Arizona,PHOENIX,Maricopa,4013,3817117,7.0,25.7,13.0,14.9,414.9
CA,California,LOS ANGELES,Los Angeles,6037,9818605,6.5,23.7,11.5,16.3,2419.6
CO,Colorado,DENVER,Denver,8031,600158,7.4,21.7,10.5,18.8,3922.6
CT,Connecticut,BRIDGEPORT,Fairfield,9001,916829,5.9,24.1,14.0,8.3,1467.2
DE,Delaware,WILMINGTON,New Castle,10003,538479,6.1,22.7,12.9,10.7,1263.2
FL,Florida,JACKSONVILLE,Duval,12031,864263,6.8,23.1,11.9,14.9,1133.9
GA,Georgia,ATLANTA,Fulton,13121,920581,6.6,23.3,9.6,15.9,1748.0
HI,Hawaii,HONOLULU,Honolulu,15003,953207,6.4,21.5,15.1,9.3,1586.7
ID,Idaho,BOISE,Ada,16001,392365,6.6,25.7,11.4,11.2,372.8
IL,Illinois,CHICAGO,Cook,17031,5194675,6.6,23.2,12.4,15.8,5495.1
IN,Indiana,INDIANAPOLIS,Marion,18097,903393,7.7,25.2,10.9,18.3,2279.6
IA,Iowa,DES MOINES,Polk,19153,430640,7.3,25.4,11.2,10.6,750.5
KS,Kansas,WICHITA,Sedgwick,20173,498365,7.8,26.8,12.0,14.0,499.6
KY,Kentucky,LOUISVILLE,Jefferson,21111,741096,6.6,22.9,13.8,15.7,1948.1
LA,Louisiana,NEW ORLEANS,Orleans,22071,343829,6.7,21.4,11.4,25.7,2029.4
ME,Maine,PORTLAND,Cumberland,23005,281674,5.0,20.1,15.3,10.7,337.2
MD,Maryland,BALTIMORE,Baltimore,24510,620961,6.8,21.5,11.9,22.4,7671.5
MA,Massachusetts,BOSTON,Suffolk,25025,722023,5.7,17.7,10.7,20.8,12415.7
MI,Michigan,DETROIT,Wayne,26163,1820584,6.5,24.5,13.2,22.7,2974.4
MN,Minnesota,MINNEAPOLIS,Hennepin,27053,1152425,6.6,22.5,11.9,12.3,2081.7
MS,Mississippi,JACKSON,Hinds,28049,245285,7.1,25.6,11.2,23.2,282.0
MO,Missouri,KANSAS CITY,Jackson,29095,674158,7.0,24.3,13.0,16.5,1115.3
MT,Montana,BILLINGS,Yellowstone,30111,147972,6.5,23.5,14.7,11.4,56.2
NE,Nebraska,OMAHA,Douglas,31055,517110,7.8,26.2,11.0,13.3,1574.4
NV,Nevada,LAS VEGAS,Clark,32003,1951269,6.8,24.5,12.3,12.9,247.3
NH,New Hampshire,MANCHESTER,Hillsborough,33011,400721,5.6,22.5,12.8,7.5,457.4
NJ,New Jersey,NEWARK,Essex,34013,783969,6.7,24.5,12.0,14.9,6211.5
NM,New Mexico,ALBUQUERQUE,Bernalillo,35001,662564,6.6,23.5,13.1,16.6,570.8
NY,New York,NEW YORK,New York,36061,1585873,5.1,14.9,13.9,17.6,69467.5
NC,North Carolina,CHARLOTTE,Mecklenburg,37119,919628,7.3,25.0,9.4,13.6,1755.5
ND,North Dakota,FARGO,Cass,38017,149778,6.8,21.6,10.3,13.2,84.9
OH,Ohio,COLUMBUS,Franklin,39049,1163414,7.1,23.8,10.4,17.4,2186.1
OK,Oklahoma,OKLAHOMA CITY,Oklahoma,40109,718633,7.7,25.4,12.2,17.3,1013.8
OR,Oregon,PORTLAND,Multnomah,41051,735334,6.2,20.2,11.2,16.5,1704.9
PA,Pennsylvania,PHILADELPHIA,Philadelphia,42101,1526006,6.9,22.5,12.2,25.6,11379.5
RI,Rhode Island,PROVIDENCE,Providence,44007,626667,5.8,21.5,13.8,16.2,1530.3
SC,South Carolina,COLUMBIA,Richland,45079,384504,6.2,22.5,10.5,15.9,507.9
SD,South Dakota,SIOUX FALLS,Minnehaha,46099,169468,7.5,24.8,11.6,10.3,210.0
TN,Tennessee,MEMPHIS,Shelby,47157,927644,7.3,25.8,10.8,20.1,1215.5
TX,Texas,HOUSTON,Harris,48201,4092459,8.0,27.6,8.7,17.3,2402.4
UT,Utah,SALT LAKE CITY,Salt Lake,49035,1029655,8.4,28.8,9.1,11.1,1387.1
VT,Vermont,BURLINGTON,Chittenden,50007,156545,4.7,19.0,12.2,10.9,291.7
VA,Virginia,VIRGINIA BEACH,Virginia Beach,51810,437994,6.6,23.2,11.4,7.1,1758.9
WA,Washington,SEATTLE,King,53033,1931249,6.2,21.1,11.6,10.5,912.9
WV,West Virginia,CHARLESTON,Kanawha,54039,193063,5.6,20.4,17.3,14.1,214.1
WI,Wisconsin,MILWAUKEE,Milwaukee,55079,947735,7.5,24.9,11.7,19.9,3926.0
WY,Wyoming,CHEYENNE,Laramie,56021,91738,6.7,23.5,13.2,9.4,34.2
